date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2022-11-25,16599.55,16666.0,16342.81,16522.14,182089.49533,3003553172.229472,16522.14,16749.988,14892.007,15623.938,15905.451,16271.418,16749.988,16890.744,17031.5,17341.164,17791.582,15008.130615234375,15694.316650390625,16169.369384765625,16749.98828125,16890.744140625,17137.068359375,17735.28125,0.16963782256750526,50.269949776786156,17092.74,1.0,0.43333333333333335,0.0,0.0
2022-11-26,16521.35,16701.99,16385.0,16458.57,181804.81666,3011990387.647429,16458.57,16579.463,14696.711,15595.935,16157.951,16382.758,16579.463,16719.967,17141.479,17281.982,17731.594,15104.171875,16157.951171875,16298.455078125,16579.462890625,16737.52978515625,17141.478515625,17527.8642578125,0.1797362668194632,22.58098493303645,16885.2,0.0,0.4,0.0,0.0
2022-11-27,16457.61,16600.0,16401.0,16428.78,162025.47607,2679048565.5213013,16428.78,16262.011,15420.872,15673.213,15981.631,16121.821,16262.011,16598.467,17145.205,17383.53,17705.965,15508.490478515625,15876.488037109375,16121.8212890625,16262.0107421875,16700.103759765625,17243.33984375,17663.908203125,0.13358662746555242,5.00676618303666,17105.7,0.0,0.5333333333333333,0.0,0.0
2022-11-28,16428.77,16487.04,15995.27,16212.91,252695.40367,4096398587.357314,16212.91,16297.951,14395.357,15612.457,15906.241,16032.147,16297.951,16479.816,16647.691,17207.28,17221.27,14584.217895507812,15703.39013671875,15948.2099609375,16297.951171875,16647.69140625,16752.61376953125,17207.279296875,0.16655981453730473,9.223959802277204e-13,16966.35,1.0,0.4666666666666667,0.0,0.0
2022-11-29,16212.18,16548.71,16100.0,16442.53,248106.25009,4072651066.9994063,16442.53,16473.121,15202.736,15858.869,16054.313,16277.678,16473.121,16612.723,16794.207,17254.896,18022.71,15303.947875976562,15949.61083984375,16193.916015625,16473.12109375,16630.173095703125,17101.3330078125,17746.995849609375,0.16501733337634356,-17.45019531249961,17088.96,0.0,0.4666666666666667,0.0,0.0
2022-11-30,16442.91,17249.0,16428.3,17163.64,303019.80719,5123595199.505285,17163.64,17141.398,16151.935,16305.231,16834.805,17002.037,17141.398,17280.758,17322.566,17726.713,17977.562,16252.971313476562,16444.591796875,17002.037109375,17141.3984375,17280.7578125,17420.119140625,17890.461669921875,0.10843184445872217,-2.488490513391152,16836.64,0.0,0.4666666666666667,1.0,0.0
2022-12-01,17165.53,17324.0,16855.01,16977.37,232818.18218,3972607179.868572,16977.37,17111.594,15859.526,16137.764,16471.648,16638.59,17111.594,17111.594,17250.713,17417.654,17695.89,15946.475219726562,16276.8818359375,16555.119140625,17111.59375,17128.983642578125,17355.05078125,17581.118896484375,0.10661597748576124,29.811244419643177,17224.1,1.0,0.4666666666666667,0.0,0.0
2022-12-02,16978.0,17105.73,16787.85,17092.74,202372.2062,3432385161.660257,17092.74,16945.254,15403.512,16084.101,16445.229,16695.24,16945.254,17139.707,17264.71,17500.834,17695.287,15764.640747070312,16250.775390625,16528.56640625,16945.25390625,17223.04296875,17361.939453125,17639.73046875,0.13379848572355177,-12.401297433034092,17128.56,1.0,0.5333333333333333,0.0,0.0
2022-12-03,17092.13,17188.98,16858.74,16885.2,154542.57306,2622504252.866453,16885.2,16844.973,15514.013,15916.074,16595.42,16720.195,16844.973,16914.295,17052.938,17219.307,18037.293,15614.527954101562,16394.388671875,16637.01171875,16844.9736328125,16931.625244140625,17052.9375,17676.824462890625,0.1473234124461611,1.5373266337128672e-12,17127.49,1.0,0.5,0.0,0.0
2022-12-04,16885.2,17202.84,16878.25,17105.7,178619.13387,3040020095.051178,17105.7,17025.973,16181.596,16333.859,16846.023,16887.55,17025.973,17219.764,17441.24,17773.453,18147.195,16195.4375,16645.310546875,16887.55078125,17025.97265625,17302.818359375,17648.873046875,18046.838623046875,0.11504792841548606,-19.77455357142847,17085.05,1.0,0.5333333333333333,0.0,0.0
2022-12-05,17106.65,17424.25,16867.0,16966.35,233703.29225,4015334796.603721,16966.35,17145.969,15749.402,16233.36,16786.455,17007.695,17145.969,17284.242,17560.79,17892.648,18542.533,15849.650390625,16489.166015625,16990.410888671875,17145.96875,17301.5263671875,17768.20068359375,18442.2861328125,0.1622985735114757,54.322126116072376,17209.83,0.0,0.36666666666666664,0.0,0.0
2022-12-06,16966.35,17107.01,16906.37,17088.96,218730.76883,3717926010.340586,17088.96,16985.611,15991.332,16543.709,16861.326,16985.611,16985.611,17123.707,17303.229,17427.514,17814.178,16277.878173828125,16571.328125,16985.611328125,16985.611328125,17123.70703125,17399.89453125,17641.559326171875,0.10255282525865415,9.223959802277204e-13,17774.7,1.0,0.5333333333333333,0.0,0.0
2022-12-07,17088.96,17142.21,16678.83,16836.64,220657.41334,3723206794.305467,16836.64,17305.46,15719.703,16078.223,16409.164,16795.262,17305.46,17539.879,17967.344,18477.545,18905.01,15805.885986328125,16305.74462890625,16547.0546875,17305.4619140625,17788.083984375,18063.869140625,18632.67333984375,0.17891814878968046,76.33300781250117,17803.15,0.0,0.4,0.0,0.0
2022-12-08,16836.64,17299.0,16733.49,17224.1,236417.97804,4009427525.030412,17224.1,16988.07,16093.96,16231.516,16781.736,16919.293,16988.07,17056.848,17235.668,17634.58,17950.955,16093.9599609375,16781.736328125,16902.098388671875,16988.0703125,17074.0419921875,17538.29052734375,17882.177734375,0.10699232195194955,-4.9126674107131,17356.34,1.0,0.6333333333333333,0.0,0.0
2022-12-09,17224.1,17360.0,17058.21,17128.56,238422.06465,4097973425.697354,17128.56,17148.38,15639.323,16270.383,16874.006,16956.318,17148.38,17285.568,17422.754,17752.004,18136.127,15639.3232421875,16668.22607421875,16874.005859375,17148.380859375,17302.716552734375,17525.64453125,18108.689453125,0.15011939012810754,-4.899623325891309,16632.12,0.0,0.4666666666666667,1.0,0.0
2022-12-10,17128.56,17227.72,17092.0,17127.49,140573.97937,2411933258.8486,17127.49,17100.53,15732.487,16279.704,16690.117,16963.727,17100.53,17292.057,17510.941,17702.469,18112.88,15903.492553710938,16587.513671875,16963.7265625,17100.529296875,17374.138671875,17613.544921875,18058.16015625,0.1418883984692594,26.87207031250109,16776.52,0.0,0.43333333333333335,1.0,0.0
2022-12-11,17127.49,17270.99,17071.0,17085.05,155286.47871,2663686104.082561,17085.05,16841.896,16214.587,16473.693,16637.34,16773.71,16841.896,17019.18,17264.646,17919.232,18723.822,16313.45556640625,16535.06005859375,16756.66455078125,16841.896484375,17182.82421875,17762.40478515625,18341.983154296875,0.149910614788708,-46.26876395089237,16738.21,0.0,0.6,1.0,0.0
2022-12-12,17085.05,17241.89,16871.85,17209.83,226227.49694,3844787581.481925,17209.83,16880.146,15927.234,16444.527,16607.887,16744.016,16880.146,17070.729,17424.666,17724.152,18132.543,16012.315551757812,16607.88671875,16726.99951171875,16880.146484375,17152.40625,17628.86083984375,18020.236572265625,0.13415199780946147,-53.47963169642731,16438.88,1.0,0.6666666666666666,1.0,1.0
2022-12-13,17208.93,18000.0,17080.14,17774.7,284462.9139,4983896040.378995,17774.7,17670.957,16841.781,16855.375,17181.607,17426.283,17670.957,18133.123,18255.459,18622.47,18921.516,16855.375,16991.3046875,17263.166015625,17670.9580078125,18214.6796875,18452.556640625,18809.3740234375,0.12309354499051821,-9.709402901783786,16895.56,1.0,0.5,1.0,1.0
2022-12-14,17775.82,18387.95,17660.94,17803.15,266681.22209,4779915721.484459,17803.15,17650.852,16293.092,16809.041,17026.281,17406.453,17650.852,18031.023,18506.236,18872.832,19293.736,16547.671875,16836.1953125,17226.549560546875,17650.8505859375,18210.925048828125,18703.11083984375,19195.298583984375,0.17834789813113722,4.849400111607759,16824.67,0.0,0.5,1.0,0.0
2022-12-15,17804.01,17854.82,17275.51,17356.34,223701.96882,3923378677.8337474,17356.34,17692.729,16079.368,16594.559,17272.441,17489.363,17692.729,17923.209,18167.246,18709.55,19156.951,16218.333740234375,17082.634765625,17472.416259765625,17692.728515625,18167.24609375,18472.29248046875,19031.544189453125,0.18295608683759348,21.789132254466015,16821.43,0.0,0.3,1.0,0.0
